Code,Prefectures,Infected,Population,Guests
1,Hokkaid?,37680,5250,18465
2,Aomori,2341,1246,3079
3,Iwate,1436,1227,4111
4,Miyagi,8850,2306,6306
5,Akita,755,966,2321
6,Yamagata,1956,1078,3309
7,Fukushima,4570,1846,9701
8,Ibaragi,9718,2860,4337
9,Tochigi,6329,1934,6087
10,Gunma,7813,1942,5152
11,Saitama,43707,7350,3173
12,Chiba,37042,6259,14128
13,Tokyo,160695,13921,29787
14,Kanagawa,61376,9198,14302
15,Niigata,3198,2223,6904
16,Toyama,1863,1044,2081
17,Ishikawa,3727,1138,4804
18,Fukui,1037,768,2492
19,Yamanashi,1543,811,4057
20,Nagano,4778,2049,10307
21,Gifu,8572,1987,3912
22,Shizuoka,8361,3644,13455
23,Aichi,47148,7552,10695
24,Mie,4891,1781,5078
25,Shiga,5076,1414,2642
26,Kyoto,15800,2583,12414
27,?saka,99621,8809,17123
28,Hy?go,39678,5466,8756
29,Nara,7752,1330,1284
30,Wakayama,2617,925,3193
31,Tottori,465,556,1845
32,Shimane,540,674,2482
33,Okayama,7319,1890,3468
34,Hiroshima,10624,2804,6314
35,Yamaguchi,2910,1358,2909
36,Tokushima,1631,728,1466
37,Kagawa,1996,956,2371
38,Ehime,2712,1339,2825
39,K?chi,1448,698,1874
40,Fukuoka,34038,5104,9813
41,Saga,2500,815,1594
42,Nagasaki,2889,1327,4516
43,Kumamoto,6238,1748,4565
44,?ita,3356,1135,4568
45,Miyazaki,3021,1073,2805
46,Kagoshima,3316,1602,5132
47,Okinawa,16902,1453,12797
