Code,Prefectures,Infected,Population
1,北海道,37680,"5,250"
2,青森県,2341,"1,246"
3,岩手県,1436,"1,227"
4,宮城県,8850,"2,306"
5,秋田県,755,966
6,山形県,1956,"1,078"
7,福島県,4570,"1,846"
8,茨城県,9718,"2,860"
9,栃木県,6329,"1,934"
10,群馬県,7813,"1,942"
11,埼玉県,43707,"7,350"
12,千葉県,37042,"6,259"
13,東京都,160695,"13,921"
14,神奈川県,61376,"9,198"
15,新潟県,3198,"2,223"
16,富山県,1863,"1,044"
17,石川県,3727,"1,138"
18,福井県,1037,768
19,山梨県,1543,811
20,長野県,4778,"2,049"
21,岐阜県,8572,"1,987"
22,静岡県,8361,"3,644"
23,愛知県,47148,"7,552"
24,三重県,4891,"1,781"
25,滋賀県,5076,"1,414"
26,京都府,15800,"2,583"
27,大阪府,99621,"8,809"
28,兵庫県,39678,"5,466"
29,奈良県,7752,"1,330"
30,和歌山県,2617,925
31,鳥取県,465,556
32,島根県,540,674
33,岡山県,7319,"1,890"
34,広島県,10624,"2,804"
35,山口県,2910,"1,358"
36,徳島県,1631,728
37,香川県,1996,956
38,愛媛県,2712,"1,339"
39,高知県,1448,698
40,福岡県,34038,"5,104"
41,佐賀県,2500,815
42,長崎県,2889,"1,327"
43,熊本県,6238,"1,748"
44,大分県,3356,"1,135"
45,宮崎県,3021,"1,073"
46,鹿児島県,3316,"1,602"
47,沖縄県,16902,"1,453"
4.9,2.4,3.3,1
6.6,2.9,4.6,1.3
5.2,2.7,3.9,1.4
5,2,3.5,1
5.9,3,4.2,1.5
6,2.2,4,1
6.1,2.9,4.7,1.4
5.6,2.9,3.6,1.3
6.7,3.1,4.4,1.4
5.6,3,4.5,1.5
5.8,2.7,4.1,1
6.2,2.2,4.5,1.5
5.6,2.5,3.9,1.1
5.9,3.2,4.8,1.8
6.1,2.8,4,1.3
6.3,2.5,4.9,1.5
6.1,2.8,4.7,1.2
6.4,2.9,4.3,1.3
6.6,3,4.4,1.4
6.8,2.8,4.8,1.4
6.7,3,5,1.7
6,2.9,4.5,1.5
5.7,2.6,3.5,1
5.5,2.4,3.8,1.1
5.5,2.4,3.7,1
5.8,2.7,3.9,1.2
6,2.7,5.1,1.6
5.4,3,4.5,1.5
6,3.4,4.5,1.6
6.7,3.1,4.7,1.5
6.3,2.3,4.4,1.3
5.6,3,4.1,1.3
5.5,2.5,4,1.3
5.5,2.6,4.4,1.2
6.1,3,4.6,1.4
5.8,2.6,4,1.2
5,2.3,3.3,1
5.6,2.7,4.2,1.3
5.7,3,4.2,1.2
5.7,2.9,4.2,1.3
6.2,2.9,4.3,1.3
5.1,2.5,3,1.1
5.7,2.8,4.1,1.3
6.3,3.3,6,2.5
5.8,2.7,5.1,1.9
7.1,3,5.9,2.1
6.3,2.9,5.6,1.8
6.5,3,5.8,2.2
7.6,3,6.6,2.1
4.9,2.5,4.5,1.7
7.3,2.9,6.3,1.8
6.7,2.5,5.8,1.8
7.2,3.6,6.1,2.5
6.5,3.2,5.1,2
6.4,2.7,5.3,1.9
6.8,3,5.5,2.1
5.7,2.5,5,2
5.8,2.8,5.1,2.4
6.4,3.2,5.3,2.3
6.5,3,5.5,1.8
7.7,3.8,6.7,2.2
7.7,2.6,6.9,2.3
6,2.2,5,1.5
6.9,3.2,5.7,2.3
5.6,2.8,4.9,2
7.7,2.8,6.7,2
6.3,2.7,4.9,1.8
6.7,3.3,5.7,2.1
7.2,3.2,6,1.8
6.2,2.8,4.8,1.8
6.1,3,4.9,1.8
6.4,2.8,5.6,2.1
7.2,3,5.8,1.6
